trainee_id,trainee_name,week_no,window_label,post_count,reposts_sum,comment_sum,like_sum,engagement_sum
chuang2021_056,大卫,4,位置测评与第二次排名阶段,20,32,224,588,1068
chuang2021_056,大卫,5,主题考核与第三次排名阶段,19,84,229,1324,1866
chuang2021_056,大卫,6,决赛阶段,24,718,778,5276,7550
chuang2021_057,李泽坤,1,初评级阶段,23,263,2122,21075,25582
chuang2021_057,李泽坤,2,小组竞演与主题曲阶段,22,8,9,33,59
chuang2021_057,李泽坤,3,首次排名阶段,21,422,2631,51555,57239
chuang2021_057,李泽坤,4,位置测评与第二次排名阶段,20,0,1,7,9
chuang2021_057,李泽坤,5,主题考核与第三次排名阶段,17,0,11,10,32
chuang2021_057,李泽坤,6,决赛阶段,10,407,351,1069,2178
chuang2021_058,林煜修,1,初评级阶段,22,255,2016,19558,23845
chuang2021_058,林煜修,2,小组竞演与主题曲阶段,27,1,14,61,90
chuang2021_058,林煜修,3,首次排名阶段,27,23,31,189,274
chuang2021_058,林煜修,4,位置测评与第二次排名阶段,14,7,40,112,199
chuang2021_058,林煜修,5,主题考核与第三次排名阶段,20,56,353,1391,2153
chuang2021_058,林煜修,6,决赛阶段,24,27,190,746,1153
chuang2021_059,李家豪,1,初评级阶段,26,254,2104,20051,24513
chuang2021_059,李家豪,2,小组竞演与主题曲阶段,26,121,691,832,2335
chuang2021_059,李家豪,3,首次排名阶段,26,124,707,1634,3172
chuang2021_059,李家豪,4,位置测评与第二次排名阶段,28,23,50,259,382
chuang2021_059,李家豪,5,主题考核与第三次排名阶段,4,79,550,1630,2809
chuang2021_059,李家豪,6,决赛阶段,19,7,22,101,152
chuang2021_060,都筑雄哉,1,初评级阶段,22,562,2392,23986,29332
chuang2021_060,都筑雄哉,2,小组竞演与主题曲阶段,23,491,2574,68102,73741
chuang2021_060,都筑雄哉,3,首次排名阶段,29,4,11,51,77
chuang2021_060,都筑雄哉,4,位置测评与第二次排名阶段,19,125,748,4503,6124
chuang2021_060,都筑雄哉,5,主题考核与第三次排名阶段,23,108,439,2828,3814
chuang2021_060,都筑雄哉,6,决赛阶段,9,70,516,3394,4496
chuang2021_061,刘唐辉,1,初评级阶段,24,243,1970,19503,23686
chuang2021_061,刘唐辉,2,小组竞演与主题曲阶段,22,1027,1401,8488,12317
chuang2021_061,刘唐辉,3,首次排名阶段,27,251,494,3357,4596
