trainee_id,trainee_name,episode_no,post_count,reposts_sum,comment_sum,like_sum,engagement_sum
chuang2021_067,凌箫,10,17,7,110,265,492
chuang2021_068,李沛洋,1,26,251,1998,19618,23865
chuang2021_068,李沛洋,3,27,60,293,1673,2319
chuang2021_068,李沛洋,5,24,4,26,94,150
chuang2021_068,李沛洋,7,27,25,91,338,545
chuang2021_068,李沛洋,9,26,217,641,1742,3241
chuang2021_068,李沛洋,10,24,402,680,2946,4708
chuang2021_069,李政庭,1,20,270,2004,19564,23842
chuang2021_069,李政庭,3,20,89,226,5086,5627
chuang2021_069,李政庭,5,22,10,71,139,291
chuang2021_069,李政庭,7,24,0,19,39,77
chuang2021_069,李政庭,9,23,1,11,38,61
chuang2021_069,李政庭,10,23,12,143,458,756
chuang2021_070,门胁慎刚,1,24,284,2089,20573,25035
chuang2021_070,门胁慎刚,3,22,82,548,12253,13431
chuang2021_070,门胁慎刚,5,24,62,240,3483,4025
chuang2021_070,门胁慎刚,7,25,110,193,1904,2400
chuang2021_070,门胁慎刚,9,19,436,540,8023,9539
chuang2021_070,门胁慎刚,10,26,114,221,1999,2555
chuang2021_071,林豆,1,25,162,1040,12865,15107
chuang2021_071,林豆,3,24,162,773,12836,14544
chuang2021_071,林豆,5,24,121,729,5126,6705
chuang2021_071,林豆,7,21,246,424,4103,5197
chuang2021_071,林豆,9,23,2582,3359,10004,19304
chuang2021_071,林豆,10,14,214,380,2831,3805
chuang2021_072,原部凌,1,25,418,1375,16674,19842
chuang2021_072,原部凌,3,27,5,96,366,563
chuang2021_072,原部凌,5,23,173,422,2891,3908
chuang2021_072,原部凌,7,28,292,3786,18729,26593
chuang2021_072,原部凌,9,29,173,1754,9874,13555
chuang2021_072,原部凌,10,27,457,1978,17207,21620
chuang2021_073,陈俊洁,1,25,319,2323,22313,27278
chuang2021_073,陈俊洁,3,22,63,256,1739,2314
chuang2021_073,陈俊洁,5,25,225,986,3611,5808
chuang2021_073,陈俊洁,7,25,17,150,489,806
chuang2021_073,陈俊洁,9,27,268,310,988,1876
chuang2021_073,陈俊洁,10,26,46,107,390,650
chuang2021_074,肖力桓,1,23,242,1934,19451,23561
chuang2021_074,肖力桓,3,27,78,449,10985,11961
chuang2021_074,肖力桓,5,23,31,211,1336,1789
chuang2021_074,肖力桓,7,26,25,135,1333,1628
chuang2021_074,肖力桓,9,27,234,1226,9403,12089
chuang2021_074,肖力桓,10,28,6,41,149,237
chuang2021_075,刘严冬季,1,22,323,2179,20597,25278
chuang2021_075,刘严冬季,3,18,85,282,4499,5148
chuang2021_075,刘严冬季,5,20,17,173,1157,1520
chuang2021_075,刘严冬季,7,21,162,309,2692,3472
chuang2021_075,刘严冬季,9,21,218,221,5183,5843
chuang2021_075,刘严冬季,10,6,770,854,2296,4774
chuang2021_076,郑明鑫,1,22,316,2288,21176,26068
chuang2021_076,郑明鑫,3,28,220,560,3601,4941
chuang2021_076,郑明鑫,5,23,14,71,206,362
chuang2021_076,郑明鑫,7,25,27,201,787,1216
chuang2021_076,郑明鑫,9,30,76,321,586,1304
chuang2021_076,郑明鑫,10,29,438,513,1566,3030
chuang2021_077,刘聪,1,25,250,2069,20715,25103
chuang2021_077,刘聪,3,16,14,63,1921,2061
chuang2021_077,刘聪,5,17,18,29,107,183
chuang2021_077,刘聪,7,13,149,269,2490,3177
chuang2021_077,刘聪,9,19,9,220,930,1379
chuang2021_077,刘聪,10,22,1174,1802,7110,11888
chuang2021_078,田口馨也,1,14,714,2340,24698,30092
chuang2021_078,田口馨也,3,16,196,208,3890,4502
chuang2021_078,田口馨也,5,18,112,451,6491,7505
chuang2021_078,田口馨也,7,20,21643,2097,73249,99086
chuang2021_078,田口馨也,9,17,1,21,93,136
chuang2021_078,田口馨也,10,8,10,21,200,252
chuang2021_079,谷柳霖,1,21,320,2508,26150,31486
chuang2021_079,谷柳霖,3,27,80,256,3452,4044
chuang2021_079,谷柳霖,5,22,43,418,2350,3229
chuang2021_079,谷柳霖,7,21,255,1408,24619,27690
chuang2021_079,谷柳霖,9,22,18,264,1474,2020
chuang2021_079,谷柳霖,10,7,5,20,67,112
chuang2021_080,韦语节,1,25,243,1981,19506,23711
chuang2021_080,韦语节,3,22,89,187,2284,2747
chuang2021_080,韦语节,5,25,225,993,24833,27044
chuang2021_080,韦语节,7,24,9,29,205,272
chuang2021_080,韦语节,9,25,1,10,76,97
chuang2021_080,韦语节,10,27,58,144,807,1153
chuang2021_081,安迪,1,25,196,1140,13846,16322
chuang2021_081,安迪,3,24,755,1196,16492,19639
chuang2021_081,安迪,5,25,162,211,1536,2120
chuang2021_081,安迪,7,25,1221,1247,16225,19940
chuang2021_081,安迪,9,18,19,503,3661,4686
chuang2021_081,安迪,10,23,879,1311,6182,9683
chuang2021_082,阿克朱力,1,22,349,2844,28802,34839
chuang2021_082,阿克朱力,3,21,285,1633,44859,48410
chuang2021_082,阿克朱力,5,10,82,596,4343,5617
chuang2021_082,阿克朱力,7,16,3,15,85,118
chuang2021_082,阿克朱力,9,13,1,74,118,267
chuang2021_082,阿克朱力,10,11,1,10,58,79
chuang2021_083,钱政宇,1,19,292,2150,20320,24912
chuang2021_083,钱政宇,3,22,189,341,2886,3757
chuang2021_083,钱政宇,5,18,138,359,4909,5765
